code,name,mesh_count,pop_sum,hospital_p50_km,hospital_p90_km,hospital_mean_km
30381,美浜町,9,6711.0,1.1195628113725535,1.9176565115744348,1.3336458047279043
30406,すさみ町,53,3460.0,1.3946575255918419,13.568374001011978,3.5125620913866746
30361,湯浅町,13,9633.0,1.722781905363417,2.9394342792114503,1.9014935998787517
30205,御坊市,33,22072.0,2.0114680577848665,5.747305933234419,2.6177582697947686
30201,和歌山市,164,354751.0,2.4465357157591545,5.718576197338776,2.7835873010766217
30204,有田市,32,24949.0,2.668417898629869,4.714136172899644,2.701612474626703
30206,田辺市,319,60661.0,3.129885580020047,20.418095787485942,6.375916384602024
30202,海南市,80,45930.0,3.257287745513149,6.884715259969377,3.751580831267223
30421,那智勝浦町,74,13523.0,3.276759552858588,7.632586559628906,3.7352564102236046
30404,上富田町,41,16940.0,3.5735310141343173,7.262757715146767,3.4856922219473847
30203,橋本市,94,61508.0,3.866093419690427,6.228530975579623,4.165819079705322
30401,白浜町,83,18155.0,4.0348900208587075,7.7017146916768,4.407854720107743
30341,かつらぎ町,88,16088.0,4.170496248100965,7.49836391616381,4.515270116624731
30362,広川町,33,7078.0,4.2995741040883155,7.830271239254237,4.579843681393959
30382,日高町,34,7656.0,4.549818589045583,7.591921495472788,5.0563407241743095
30343,九度山町,24,3070.0,4.6157902465160525,6.356265454680668,4.859637573313121
30207,新宮市,73,26268.0,4.957336413135718,6.579774057703069,4.890743887418673
30428,串本町,61,13044.0,5.208279903224385,11.578722619490303,5.1149270751860865
30366,有田川町,164,25115.0,5.4213709218850745,16.130604760646126,6.9230454118696345
30208,紀の川市,147,57816.0,5.865120006875574,10.109035663087367,5.787581831368501
30422,太地町,6,2450.0,6.330243975665449,6.662776720948986,6.190021831660018
30209,岩出市,24,54359.0,6.658965351040765,9.500877354310674,6.650956668631643
30392,日高川町,120,9317.0,7.962163915883218,21.95579770534262,10.976736786290397
30424,古座川町,72,2434.0,8.010227229981862,20.624090091353718,10.81324023445603
30383,由良町,21,5110.0,10.452140079078161,12.436943565511356,10.493241805948905
30391,みなべ町,62,11474.0,10.981791059284049,16.6367490463138,11.963446870706896
30304,紀美野町,82,8877.0,12.053206041170078,15.804458340468228,12.371231957521777
30344,高野町,39,2963.0,13.19016735213184,14.71533079054068,13.381872388570562
30390,印南町,64,7182.0,13.221881185894661,16.646655552150555,13.407380786491109
30427,北山村,7,262.0,32.49161529360651,38.222533036264885,34.46516561543781
