code,pop_name,pop_total,pop_65,aging_rate,inflow,outflow,net_migration,net_migration_rate_per1000
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.8417342015928055
30202,海南市,48369,17720,0.36635034836362135,1047,1124,-77,-1.5919287146726209
30203,橋本市,60818,20116,0.33075734157650694,1159,1376,-217,-3.5680226248807916
30204,有田市,26538,9270,0.34931042278996155,440,604,-164,-6.17981762001658
30205,御坊市,23481,7333,0.31229504705932454,461,688,-227,-9.667390656275288
30206,田辺市,69870,23429,0.33532274223558034,1521,1833,-312,-4.46543580936024
30207,新宮市,27171,10111,0.3721246917669574,696,835,-139,-5.115748408229362
30208,紀の川市,58816,19449,0.33067532644178455,1317,1392,-75,-1.2751632208922743
30209,岩出市,53967,12849,0.2380899438545778,1588,1605,-17,-0.31500731928771286
30304,紀美野町,8256,4009,0.4855862403100775,124,188,-64,-7.751937984496124
30341,かつらぎ町,15967,6425,0.40239243439594163,297,361,-64,-4.008267050792258
30343,九度山町,3856,1792,0.46473029045643155,110,139,-29,-7.520746887966805
30344,高野町,2970,1220,0.4107744107744108,97,135,-38,-12.794612794612794
30361,湯浅町,11122,4089,0.36764970329077507,218,291,-73,-6.563567703650423
30362,広川町,6781,2413,0.35584722017401565,98,153,-55,-8.110898097625718
30366,有田川町,25258,8325,0.32959854303586983,442,607,-165,-6.532583735846068
30381,美浜町,6867,2566,0.37367118101063057,209,237,-28,-4.077471967380225
30382,日高町,7673,2317,0.3019679395282158,246,226,20,2.6065424214779096
30383,由良町,5364,2088,0.38926174496644295,90,162,-72,-13.422818791946309
30390,印南町,7720,2855,0.3698186528497409,135,172,-37,-4.7927461139896375
30391,みなべ町,11818,3929,0.3324589609070909,188,281,-93,-7.869351836182096
30392,日高川町,9219,3388,0.3675018982536067,206,290,-84,-9.111617312072893
30401,白浜町,20262,8017,0.3956667653736058,618,785,-167,-8.242029414667853
30404,上富田町,15236,4112,0.2698871094775532,540,469,71,4.660015752165922
30406,すさみ町,3685,1795,0.4871099050203528,69,122,-53,-14.382632293080054
30421,那智勝浦町,14137,6200,0.4385654665063309,302,391,-89,-6.295536535332815
30422,太地町,2791,1251,0.44822644213543533,118,75,43,15.406664278036546
30424,古座川町,2480,1370,0.5524193548387096,44,62,-18,-7.258064516129033
30427,北山村,404,182,0.4504950495049505,12,16,-4,-9.900990099009901
30428,串本町,14959,6930,0.46326626111371083,263,416,-153,-10.227956414198811
