KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
50351579,0,,,21,11,10,0,0,0,21,11,10,9,6,3,21,11,10,21,11,10,12,5,7,7,3,4,5,1,4,0,0,0,0,0,0,11,11,4,4,3,0,0,0,0,7,6,1,0,9,0,3,3
50351583,0,,,21,10,11,1,1,0,20,9,11,10,4,6,20,9,11,20,9,11,10,5,5,8,3,5,4,2,2,0,0,0,0,0,0,10,10,2,5,3,0,0,0,0,8,7,1,1,7,0,1,2
50351584,0,,,80,38,42,5,2,3,75,36,39,30,17,13,75,36,39,74,35,39,45,19,26,31,13,18,17,9,8,1,0,1,0,0,0,41,41,19,14,4,0,3,1,0,22,19,3,2,33,0,16,9
50351585,0,,,11,7,4,1,1,0,10,6,4,4,2,2,10,6,4,10,6,4,6,4,2,3,2,1,2,1,1,1,1,0,0,0,0,6,6,3,1,2,0,0,0,0,3,2,1,1,5,0,3,1
50351586,0,,,34,16,18,2,0,2,32,16,16,18,9,9,32,16,16,32,16,16,14,7,7,11,6,5,4,2,2,1,0,1,0,0,0,18,18,8,6,2,2,0,0,0,10,9,1,1,9,0,4,3
50351587,0,,,431,195,236,27,14,13,404,181,223,175,88,87,402,179,223,400,178,222,229,93,136,134,56,78,43,12,31,6,2,4,0,0,0,228,224,91,85,29,17,1,1,0,133,125,8,5,159,0,74,52
50351588,0,,,192,92,100,4,3,1,183,84,99,62,31,31,181,82,99,181,82,99,121,53,68,60,28,32,16,9,7,1,1,0,0,0,0,113,113,54,44,12,1,2,0,0,57,55,2,0,85,0,38,28
50351589,0,,,110,54,56,14,10,4,96,44,52,40,19,21,95,43,52,93,43,50,56,25,31,25,10,15,9,3,6,1,1,0,0,0,0,49,49,13,23,6,2,5,0,0,36,34,2,3,36,0,10,17
50351592,0,,,50,22,28,7,4,3,43,18,25,10,6,4,43,18,25,43,18,25,33,12,21,20,7,13,7,1,6,2,0,2,0,0,0,26,26,12,10,2,0,0,2,0,14,12,2,2,22,0,11,8
